Store,Dept,Date,Weekly_Sales,IsHoliday,Demand,Forecast_Demand
1.0,1.0,2012-08-17,17330.7,False,17330.7,15862.547553271746
1.0,1.0,2012-08-24,16286.4,False,16286.4,16140.100800219525
1.0,1.0,2012-08-31,16680.24,False,16680.24,16633.578357409428
1.0,1.0,2012-09-07,18322.37,True,18322.37,18050.58758826058
1.0,1.0,2012-09-14,19616.22,False,19616.22,19423.388942013647
1.0,1.0,2012-09-21,19251.5,False,19251.5,19077.72186594577
1.0,1.0,2012-09-28,18947.81,False,18947.81,19514.93532806687
1.0,1.0,2012-10-05,21904.47,False,21904.47,21909.085520034336
1.0,1.0,2012-10-12,22764.01,False,22764.01,23668.348757867803
1.0,1.0,2012-10-19,24185.27,False,24185.27,24427.813884049327
1.0,1.0,2012-10-26,27390.81,False,27390.81,29611.691561742828
1.0,2.0,2012-08-17,46350.97,False,46350.97,46343.808207187605
1.0,2.0,2012-08-24,44972.52,False,44972.52,47959.97335078694
1.0,2.0,2012-08-31,50995.5,False,50995.5,49055.64184185608
1.0,2.0,2012-09-07,47344.5,True,47344.5,45296.0896579545
1.0,2.0,2012-09-14,44493.61,False,44493.61,44768.45734017403
1.0,2.0,2012-09-21,43541.07,False,43541.07,44912.892784699
1.0,2.0,2012-09-28,45784.76,False,45784.76,45849.90313149637
1.0,2.0,2012-10-05,48577.08,False,48577.08,50711.037639795526
1.0,2.0,2012-10-12,42112.67,False,42112.67,44602.55205484307
1.0,2.0,2012-10-19,42354.72,False,42354.72,43784.44611437009
1.0,2.0,2012-10-26,43134.88,False,43134.88,42815.82428709604
1.0,3.0,2012-08-17,31905.97,False,31905.97,36640.00068017903
1.0,3.0,2012-08-24,43712.78,False,43712.78,41768.54820317651
1.0,3.0,2012-08-31,50701.3,False,50701.3,22040.174379798893
1.0,3.0,2012-09-07,18368.51,True,18368.51,20907.283381245517
1.0,3.0,2012-09-14,14288.22,False,14288.22,12247.169072062285
1.0,3.0,2012-09-21,13403.63,False,13403.63,10219.07070043424
1.0,3.0,2012-09-28,13085.95,False,13085.95,10545.081269631935
1.0,3.0,2012-10-05,11676.98,False,11676.98,11275.169198008583
1.0,3.0,2012-10-12,10487.17,False,10487.17,10794.396744578817
1.0,3.0,2012-10-19,8548.87,False,8548.87,10586.434918965844
1.0,3.0,2012-10-26,9350.9,False,9350.9,9453.673607068524
1.0,4.0,2012-08-17,38105.9,False,38105.9,39873.2782214812
1.0,4.0,2012-08-24,36674.67,False,36674.67,38936.81078174473
1.0,4.0,2012-08-31,37802.97,False,37802.97,38804.2556822369
1.0,4.0,2012-09-07,39549.27,True,39549.27,37250.31536551048
1.0,4.0,2012-09-14,35044.06,False,35044.06,37106.33737520679
1.0,4.0,2012-09-21,34507.34,False,34507.34,35497.662883745026
1.0,4.0,2012-09-28,34647.33,False,34647.33,34578.57424917139
1.0,4.0,2012-10-05,39311.93,False,39311.93,39418.246304355445
1.0,4.0,2012-10-12,35446.18,False,35446.18,36602.16737107869
1.0,4.0,2012-10-19,35549.19,False,35549.19,36064.50514596005
1.0,4.0,2012-10-26,36292.6,False,36292.6,35571.066403338016
1.0,5.0,2012-08-17,15440.65,False,15440.65,18155.22472764448
1.0,5.0,2012-08-24,22446.23,False,22446.23,15879.317967231396
1.0,5.0,2012-08-31,18615.76,False,18615.76,20216.331335625408
1.0,5.0,2012-09-07,18236.15,True,18236.15,18735.453617672098
1.0,5.0,2012-09-14,19369.52,False,19369.52,19313.01536904332
1.0,5.0,2012-09-21,25798.78,False,25798.78,19840.93745779876
1.0,5.0,2012-09-28,22560.39,False,22560.39,17754.781912236576
1.0,5.0,2012-10-05,25508.81,False,25508.81,27785.06122298653
1.0,5.0,2012-10-12,20920.03,False,20920.03,22907.808214335764
1.0,5.0,2012-10-19,20413.83,False,20413.83,27921.225016961154
1.0,5.0,2012-10-26,25846.94,False,25846.94,24068.68484518468
1.0,6.0,2012-08-17,2725.3,False,2725.3,2501.4532359203963
1.0,6.0,2012-08-24,2626.5,False,2626.5,2696.062435624542
1.0,6.0,2012-08-31,2987.07,False,2987.07,2752.3398527581794
1.0,6.0,2012-09-07,2576.64,True,2576.64,5020.050113739536
1.0,6.0,2012-09-14,3073.31,False,3073.31,3324.3695154104107
1.0,6.0,2012-09-21,4159.51,False,4159.51,3700.901769898154
1.0,6.0,2012-09-28,3168.68,False,3168.68,3135.909165369308
1.0,6.0,2012-10-05,3843.29,False,3843.29,4034.906962787207
1.0,6.0,2012-10-12,3788.59,False,3788.59,3756.5813675837353
1.0,6.0,2012-10-19,3496.69,False,3496.69,4310.782551121692
1.0,6.0,2012-10-26,4032.5,False,4032.5,4751.554877262524
1.0,7.0,2012-08-17,16256.91,False,16256.91,15126.45466957732
1.0,7.0,2012-08-24,15159.94,False,15159.94,14855.802172392669
1.0,7.0,2012-08-31,15802.09,False,15802.09,15888.945634243884
1.0,7.0,2012-09-07,16941.42,True,16941.42,15872.306217073445
1.0,7.0,2012-09-14,15525.82,False,15525.82,17295.35593855096
1.0,7.0,2012-09-21,22542.44,False,22542.44,16501.404965269816
1.0,7.0,2012-09-28,22343.24,False,22343.24,16847.11917243625
1.0,7.0,2012-10-05,22071.39,False,22071.39,18613.648588362197
1.0,7.0,2012-10-12,20212.71,False,20212.71,19038.909600184583
1.0,7.0,2012-10-19,21937.45,False,21937.45,25439.63990846966
1.0,7.0,2012-10-26,21449.85,False,21449.85,26684.98993035094
1.0,8.0,2012-08-17,36294.18,False,36294.18,36312.0782679851
1.0,8.0,2012-08-24,33855.28,False,33855.28,36722.87501917197
1.0,8.0,2012-08-31,37666.92,False,37666.92,37464.40121142789
1.0,8.0,2012-09-07,38666.21,True,38666.21,36932.77808944162
1.0,8.0,2012-09-14,37346.83,False,37346.83,37699.35490643228
1.0,8.0,2012-09-21,36404.63,False,36404.63,36617.93339504759
1.0,8.0,2012-09-28,37254.84,False,37254.84,36546.52844652232
1.0,8.0,2012-10-05,42663.75,False,42663.75,40154.28099436513
1.0,8.0,2012-10-12,37248.47,False,37248.47,37443.82466826025
1.0,8.0,2012-10-19,38668.75,False,38668.75,36415.73709071527
1.0,8.0,2012-10-26,39255.35,False,39255.35,37160.24079772125
1.0,9.0,2012-08-17,23503.86,False,23503.86,21122.415586948176
1.0,9.0,2012-08-24,26262.95,False,26262.95,23641.88139148345
1.0,9.0,2012-08-31,41634.69,False,41634.69,35241.12339853446
1.0,9.0,2012-09-07,42920.95,True,42920.95,38338.78086649232
1.0,9.0,2012-09-14,31882.98,False,31882.98,30774.99417574325
1.0,9.0,2012-09-21,33889.72,False,33889.72,32389.28230463846
1.0,9.0,2012-09-28,40712.85,False,40712.85,41348.93440533788
1.0,9.0,2012-10-05,40439.53,False,40439.53,43349.9498954103
1.0,9.0,2012-10-12,37126.23,False,37126.23,34083.75796677821
1.0,9.0,2012-10-19,36690.81,False,36690.81,34028.32666904188
1.0,9.0,2012-10-26,41040.84,False,41040.84,36135.82327170792
1.0,10.0,2012-08-17,29723.55,False,29723.55,31418.878229630893
1.0,10.0,2012-08-24,27884.19,False,27884.19,31768.143123877737
1.0,10.0,2012-08-31,28490.93,False,28490.93,31220.07476775116
1.0,10.0,2012-09-07,30851.75,True,30851.75,31338.748505576197
1.0,10.0,2012-09-14,31705.09,False,31705.09,32229.203081422114
1.0,10.0,2012-09-21,29203.63,False,29203.63,30259.995756842967
1.0,10.0,2012-09-28,27205.4,False,27205.4,30934.325259361925
1.0,10.0,2012-10-05,27822.4,False,27822.4,31755.43670014311
1.0,10.0,2012-10-12,27803.78,False,27803.78,29627.68377214855
1.0,10.0,2012-10-19,29442.38,False,29442.38,28957.95748942172
1.0,10.0,2012-10-26,26285.27,False,26285.27,28505.19131832304
1.0,11.0,2012-08-17,20281.68,False,20281.68,21413.589404715145
1.0,11.0,2012-08-24,20462.68,False,20462.68,21128.973384731536
1.0,11.0,2012-08-31,21103.42,False,21103.42,21461.45237600182
1.0,11.0,2012-09-07,23338.99,True,23338.99,21289.52673537189
1.0,11.0,2012-09-14,17027.47,False,17027.47,21264.88363402502
1.0,11.0,2012-09-21,18161.43,False,18161.43,18784.1581140575
1.0,11.0,2012-09-28,17242.78,False,17242.78,18680.946206321343
1.0,11.0,2012-10-05,22374.18,False,22374.18,20720.356546235816
1.0,11.0,2012-10-12,21857.09,False,21857.09,19819.621868183676
1.0,11.0,2012-10-19,18259.82,False,18259.82,21682.9934315685
1.0,11.0,2012-10-26,22399.83,False,22399.83,19822.65298452532
1.0,12.0,2012-08-17,11447.03,False,11447.03,10486.291761573942
1.0,12.0,2012-08-24,10723.59,False,10723.59,10008.090295821112
1.0,12.0,2012-08-31,10591.46,False,10591.46,10726.91857319319
1.0,12.0,2012-09-07,12566.45,True,12566.45,11305.106961438258
1.0,12.0,2012-09-14,10484.08,False,10484.08,11846.95379210476
1.0,12.0,2012-09-21,9448.14,False,9448.14,10739.77173466592
1.0,12.0,2012-09-28,11013.77,False,11013.77,8718.499351844213
1.0,12.0,2012-10-05,10037.09,False,10037.09,11588.768286024271
1.0,12.0,2012-10-12,8983.82,False,8983.82,11296.131831437178
1.0,12.0,2012-10-19,10830.48,False,10830.48,10501.846195813116
1.0,12.0,2012-10-26,8658.41,False,8658.41,10279.870640822202
1.0,13.0,2012-08-17,41658.4,False,41658.4,40439.028975085545
1.0,13.0,2012-08-24,39231.62,False,39231.62,41219.87615731119
1.0,13.0,2012-08-31,40940.78,False,40940.78,43573.4009746742
1.0,13.0,2012-09-07,44373.19,True,44373.19,40633.00582145982
1.0,13.0,2012-09-14,38759.47,False,38759.47,41321.39175467203
1.0,13.0,2012-09-21,39746.87,False,39746.87,40328.75870610227
1.0,13.0,2012-09-28,39793.41,False,39793.41,39636.1318365332
1.0,13.0,2012-10-05,43746.89,False,43746.89,44154.1851391031
1.0,13.0,2012-10-12,38015.36,False,38015.36,39788.322190224535
1.0,13.0,2012-10-19,38341.15,False,38341.15,40056.06548772392
1.0,13.0,2012-10-26,38512.48,False,38512.48,38423.172831387536
1.0,14.0,2012-08-17,12419.06,False,12419.06,12882.63645096564
1.0,14.0,2012-08-24,11041.63,False,11041.63,13878.382803697506
1.0,14.0,2012-08-31,12912.96,False,12912.96,12694.096229923392
1.0,14.0,2012-09-07,13711.08,True,13711.08,14272.95229968449
1.0,14.0,2012-09-14,11596.1,False,11596.1,14268.20567401783
1.0,14.0,2012-09-21,12193.8,False,12193.8,12599.64991603499
1.0,14.0,2012-09-28,12037.66,False,12037.66,13327.71630144006
1.0,14.0,2012-10-05,14381.21,False,14381.21,13346.120729048258
1.0,14.0,2012-10-12,11450.64,False,11450.64,13734.82312333169
1.0,14.0,2012-10-19,12035.51,False,12035.51,12821.380631836482
1.0,14.0,2012-10-26,11150.0,False,11150.0,12973.73794189423
1.0,16.0,2012-08-17,20035.26,False,20035.26,19315.3084637044
1.0,16.0,2012-08-24,18393.12,False,18393.12,16652.855128661493
1.0,16.0,2012-08-31,16797.62,False,16797.62,18621.78666836752
1.0,16.0,2012-09-07,20473.94,True,20473.94,19737.546275836485
1.0,16.0,2012-09-14,14646.37,False,14646.37,17727.49475046128
1.0,16.0,2012-09-21,13415.51,False,13415.51,14802.27753411142
1.0,16.0,2012-09-28,14734.64,False,14734.64,13951.18364858245
1.0,16.0,2012-10-05,11320.41,False,11320.41,16120.90764376704
1.0,16.0,2012-10-12,10525.66,False,10525.66,11617.2466795988
1.0,16.0,2012-10-19,9518.43,False,9518.43,11325.630335918386
1.0,16.0,2012-10-26,9934.63,False,9934.63,9508.40208847912
1.0,17.0,2012-08-17,8710.04,False,8710.04,8270.670221169155
1.0,17.0,2012-08-24,9523.9,False,9523.9,8935.944087064583
1.0,17.0,2012-08-31,8158.73,False,8158.73,8628.217989922956
1.0,17.0,2012-09-07,8712.44,True,8712.44,8920.2076426479
1.0,17.0,2012-09-14,7075.73,False,7075.73,8668.638502622935
1.0,17.0,2012-09-21,7143.59,False,7143.59,8079.26047840763
1.0,17.0,2012-09-28,7155.75,False,7155.75,7589.677278700626
1.0,17.0,2012-10-05,9040.52,False,9040.52,8260.33484310639
1.0,17.0,2012-10-12,7908.36,False,7908.36,8460.27515432141
1.0,17.0,2012-10-19,7640.43,False,7640.43,8064.44084176272
1.0,17.0,2012-10-26,7640.92,False,7640.92,7825.092897629926
1.0,18.0,2012-08-17,9.97,False,9.97,1403.1026980322845
1.0,18.0,2012-08-24,4.97,False,4.97,304.7752709395216
1.0,18.0,2012-08-31,4.97,False,4.97,0.0
1.0,18.0,2012-09-07,4.97,True,4.97,174.27728860620843
1.0,18.0,2012-09-14,649.09,False,649.09,1034.6581177192088
1.0,18.0,2012-09-21,3361.0,False,3361.0,1109.454458827971
1.0,18.0,2012-09-28,4867.7,False,4867.7,1901.9172940971453
1.0,18.0,2012-10-05,7291.46,False,7291.46,4246.282765863793
1.0,18.0,2012-10-12,8171.79,False,8171.79,6845.262287157968
1.0,18.0,2012-10-19,10569.09,False,10569.09,9948.268136142937
1.0,18.0,2012-10-26,17934.28,False,17934.28,13137.56155306897
1.0,19.0,2012-08-17,1192.39,False,1192.39,948.1569494772644
1.0,19.0,2012-08-24,1328.49,False,1328.49,941.3371637472072
1.0,19.0,2012-08-31,900.06,False,900.06,993.4939733998158
1.0,19.0,2012-09-07,1225.7,True,1225.7,1132.7243067240568
1.0,19.0,2012-09-14,733.78,False,733.78,1403.7139375790862
1.0,19.0,2012-09-21,1015.46,False,1015.46,1176.4096194947329
1.0,19.0,2012-09-28,1385.85,False,1385.85,1042.787104369551
1.0,19.0,2012-10-05,1192.58,False,1192.58,1177.9604047801022
1.0,19.0,2012-10-12,1415.68,False,1415.68,1262.9682347752932
1.0,19.0,2012-10-19,1247.56,False,1247.56,1127.833357308955
1.0,19.0,2012-10-26,1640.81,False,1640.81,1184.0971796577262
1.0,20.0,2012-08-17,3980.4,False,3980.4,4635.215950079989
1.0,20.0,2012-08-24,3452.67,False,3452.67,4482.687199828981
1.0,20.0,2012-08-31,4602.26,False,4602.26,4076.277404143767
1.0,20.0,2012-09-07,4342.34,True,4342.34,4536.250546051444
1.0,20.0,2012-09-14,3548.56,False,3548.56,4187.5178185300365
1.0,20.0,2012-09-21,3532.28,False,3532.28,3955.129496333404
1.0,20.0,2012-09-28,3200.54,False,3200.54,3616.092441394861
1.0,20.0,2012-10-05,4184.73,False,4184.73,3486.263658176603
1.0,20.0,2012-10-12,3126.49,False,3126.49,3737.361359879906
1.0,20.0,2012-10-19,3640.07,False,3640.07,3121.91547887128
1.0,20.0,2012-10-26,2680.53,False,2680.53,3495.069404390884
1.0,21.0,2012-08-17,6182.36,False,6182.36,7098.888872665437
1.0,21.0,2012-08-24,6965.28,False,6965.28,6957.186549087361
1.0,21.0,2012-08-31,7031.77,False,7031.77,7390.867517819378
1.0,21.0,2012-09-07,8258.47,True,8258.47,7841.844048360007
1.0,21.0,2012-09-14,8013.36,False,8013.36,8650.42378942272
1.0,21.0,2012-09-21,7085.79,False,7085.79,8051.857935680116
1.0,21.0,2012-09-28,7737.13,False,7737.13,7493.974684759656
1.0,21.0,2012-10-05,7790.01,False,7790.01,8511.283493459337
1.0,21.0,2012-10-12,7020.8,False,7020.8,7512.559381275852
1.0,21.0,2012-10-19,7614.71,False,7614.71,7572.371874685792
1.0,21.0,2012-10-26,8194.63,False,8194.63,7777.374115248701
1.0,22.0,2012-08-17,7788.49,False,7788.49,7168.1183991327
1.0,22.0,2012-08-24,6364.81,False,6364.81,7971.949461980197
1.0,22.0,2012-08-31,5742.4,False,5742.4,7130.352958084845
1.0,22.0,2012-09-07,7669.83,True,7669.83,8837.147253395106
1.0,22.0,2012-09-14,5462.99,False,5462.99,7925.935449847806
1.0,22.0,2012-09-21,5663.49,False,5663.49,7030.505755707623
1.0,22.0,2012-09-28,6892.92,False,6892.92,5471.654113502195
1.0,22.0,2012-10-05,7821.14,False,7821.14,7686.896082323433
1.0,22.0,2012-10-12,8966.16,False,8966.16,7450.280305937988
1.0,22.0,2012-10-19,8236.39,False,8236.39,8213.02926867509
1.0,22.0,2012-10-26,8236.88,False,8236.88,7759.256257374393
1.0,23.0,2012-08-17,21808.81,False,21808.81,22660.261458468663
1.0,23.0,2012-08-24,25618.62,False,25618.62,23267.72799215543
1.0,23.0,2012-08-31,23361.12,False,23361.12,22616.371045032367
1.0,23.0,2012-09-07,17406.85,True,17406.85,20411.336826617728
1.0,23.0,2012-09-14,14172.52,False,14172.52,16620.70347774513
1.0,23.0,2012-09-21,15702.02,False,15702.02,16456.586028240497
1.0,23.0,2012-09-28,14731.92,False,14731.92,16564.41101850824
1.0,23.0,2012-10-05,19478.62,False,19478.62,18049.41590681546
1.0,23.0,2012-10-12,21024.28,False,21024.28,18280.612111225164
1.0,23.0,2012-10-19,17191.96,False,17191.96,20817.530739827896
1.0,23.0,2012-10-26,21460.58,False,21460.58,19623.43414686448
1.0,24.0,2012-08-17,12967.94,False,12967.94,11959.96438408134
1.0,24.0,2012-08-24,16785.62,False,16785.62,12623.271100675243
1.0,24.0,2012-08-31,13181.63,False,13181.63,9289.988952196309
1.0,24.0,2012-09-07,5138.69,True,5138.69,8445.932028802059
1.0,24.0,2012-09-14,4980.64,False,4980.64,5862.902447738776
1.0,24.0,2012-09-21,4979.52,False,4979.52,4776.796263682399
1.0,24.0,2012-09-28,4364.69,False,4364.69,4143.801101341546
1.0,24.0,2012-10-05,7322.07,False,7322.07,5208.299405281558
1.0,24.0,2012-10-12,7733.2,False,7733.2,5526.444769715772
1.0,24.0,2012-10-19,5355.52,False,5355.52,7645.380445013929
1.0,24.0,2012-10-26,7106.74,False,7106.74,6815.758416191673
1.0,25.0,2012-08-17,9780.51,False,9780.51,9101.539486882622
1.0,25.0,2012-08-24,10625.07,False,10625.07,9833.802998858322
1.0,25.0,2012-08-31,10284.77,False,10284.77,9527.853789335086
1.0,25.0,2012-09-07,7461.45,True,7461.45,10304.863931715474
1.0,25.0,2012-09-14,7541.58,False,7541.58,8613.099734144658
