Store,Model,WMAE
1,Historical Mean,3070.9014331932945
1,Naïve Forecast,2903.9051643598614
1,Seasonal Naïve,1985.8943735404976
2,Historical Mean,3325.534509728338
2,Naïve Forecast,3223.729781849913
2,Seasonal Naïve,2774.357208372634
3,Historical Mean,1340.352294370906
3,Naïve Forecast,960.2179133858268
3,Seasonal Naïve,1170.897441120765
4,Historical Mean,3919.841737363267
4,Naïve Forecast,3705.994243733794
4,Seasonal Naïve,2455.0024753113703
5,Historical Mean,840.9183881195474
5,Naïve Forecast,814.2909302325581
5,Seasonal Naïve,712.3860398060635
6,Historical Mean,3170.36052283144
6,Naïve Forecast,3197.1903222996516
6,Seasonal Naïve,1968.0613033536588
7,Historical Mean,1558.135047921939
7,Naïve Forecast,2030.8160382513659
7,Seasonal Naïve,1028.5043882690848
8,Historical Mean,1958.932706877585
8,Naïve Forecast,1920.3723800904977
8,Seasonal Naïve,1430.3556841724508
9,Historical Mean,1600.8054532181714
9,Naïve Forecast,1452.9708024072218
9,Seasonal Naïve,1285.089406795661
10,Historical Mean,4005.5381780082657
10,Naïve Forecast,5260.955603524229
10,Seasonal Naïve,2045.1339390902895
11,Historical Mean,2493.333515490956
11,Naïve Forecast,2788.9146214788734
11,Seasonal Naïve,1712.668768649404
12,Historical Mean,2271.2867763578965
12,Naïve Forecast,1840.8475176254656
12,Seasonal Naïve,1337.9977072216725
13,Historical Mean,4103.772219626453
13,Naïve Forecast,3506.3988955479454
13,Seasonal Naïve,3081.5024632764207
14,Historical Mean,6625.264612590268
14,Naïve Forecast,3707.75968
14,Seasonal Naïve,5447.625840224784
15,Historical Mean,1785.0659411164029
15,Naïve Forecast,1507.4059530261968
15,Seasonal Naïve,928.9115458701528
16,Historical Mean,1732.804091545537
16,Naïve Forecast,1858.4170523415978
16,Seasonal Naïve,1190.0745293907373
17,Historical Mean,3708.620735510304
17,Naïve Forecast,3768.6134405910448
17,Seasonal Naïve,1650.3835284160136
18,Historical Mean,3425.120147176246
18,Naïve Forecast,2068.216738544474
18,Seasonal Naïve,3020.208426008514
19,Historical Mean,3405.187811335926
19,Naïve Forecast,3223.431731415707
19,Seasonal Naïve,1991.3355730622836
20,Historical Mean,3724.560635883794
20,Naïve Forecast,3732.7586422976497
20,Seasonal Naïve,2281.2623219949714
21,Historical Mean,2289.1928057547607
21,Naïve Forecast,1656.913091533112
21,Seasonal Naïve,1427.413723488853
22,Historical Mean,2423.333130431672
22,Naïve Forecast,1864.2875665748395
22,Seasonal Naïve,1630.3683862016867
23,Historical Mean,3765.082855320569
23,Naïve Forecast,2972.5273679498655
23,Seasonal Naïve,1893.6464111662733
24,Historical Mean,2846.334497003904
24,Naïve Forecast,2580.4417247386755
24,Seasonal Naïve,1872.2763610585935
25,Historical Mean,1558.8568451608876
25,Naïve Forecast,1351.694205551436
25,Seasonal Naïve,1080.8397957819204
26,Historical Mean,2046.7560379967674
26,Naïve Forecast,1952.1141064981946
26,Seasonal Naïve,1220.2422150682287
27,Historical Mean,3641.206930413836
27,Naïve Forecast,3200.067665505226
27,Seasonal Naïve,2210.842400751023
28,Historical Mean,3658.476836043676
28,Naïve Forecast,3413.514270462633
28,Seasonal Naïve,2233.1581123491537
29,Historical Mean,1344.6255110502432
29,Naïve Forecast,1160.722041248849
29,Seasonal Naïve,1057.8731595606716
30,Historical Mean,572.7294889465368
30,Naïve Forecast,478.98591989987483
30,Seasonal Naïve,1126.9109738846937
31,Historical Mean,2172.6373248392465
31,Naïve Forecast,2151.2003992901505
31,Seasonal Naïve,1632.3607387288484
32,Historical Mean,1850.1670368591042
32,Naïve Forecast,1871.362706502636
32,Seasonal Naïve,1451.7316447685032
33,Historical Mean,1072.8141147023348
33,Naïve Forecast,640.50102425876
33,Seasonal Naïve,858.1386329932395
34,Historical Mean,1775.6553111307007
34,Naïve Forecast,1663.5694532627867
34,Seasonal Naïve,1408.914147353225
35,Historical Mean,2640.5917998884493
35,Naïve Forecast,1959.9871335200744
35,Seasonal Naïve,1944.5547296970797
36,Historical Mean,2203.615894692249
36,Naïve Forecast,815.1948964857082
36,Seasonal Naïve,1477.462826309053
37,Historical Mean,752.6958526228339
37,Naïve Forecast,849.874761904762
37,Seasonal Naïve,577.5439926475274
38,Historical Mean,1230.1716519312833
38,Naïve Forecast,917.4452968568103
38,Seasonal Naïve,1065.2001707543402
39,Historical Mean,3652.504816200532
39,Naïve Forecast,2803.8864791288565
39,Seasonal Naïve,2560.9125863258996
40,Historical Mean,2026.0963528513307
40,Naïve Forecast,1888.8564893617022
40,Seasonal Naïve,1179.5937334672942
41,Historical Mean,3152.711472918117
41,Naïve Forecast,2530.6837085514835
41,Seasonal Naïve,2062.1850735190974
42,Historical Mean,1230.8556540044017
42,Naïve Forecast,1306.3570621763374
42,Seasonal Naïve,770.4794329058309
43,Historical Mean,966.0004636832642
43,Naïve Forecast,1361.613958060288
43,Seasonal Naïve,1050.6570181480442
44,Historical Mean,829.9531513627252
44,Naïve Forecast,654.5689870435809
44,Seasonal Naïve,809.425227033997
45,Historical Mean,1809.7584334053934
45,Naïve Forecast,1328.2769344413664
45,Seasonal Naïve,1244.5402847586486
