Store,Dept,Date,Weekly_Sales,IsHoliday,Demand,Forecast_Demand,Forecast,Demand_Proxy,Forecast_Error,Absolute_Error,Safety_Stock,Next_Forecast,Target_Inventory,Starting_Inventory,Arriving_Inventory,Fulfilled_Demand,Lost_Sales,Ending_Inventory,Order_Qty,Holding_Cost,Shortage_Cost,Total_Cost
1.0,1.0,2012-09-14,19616.22,False,19616.22,19423.388942013647,19423.388942013647,19616.22,192.8310579863537,192.8310579863537,3271.074997505407,19077.72186594577,22348.796863451174,22694.463939519053,0.0,19616.22,0.0,3078.243939519052,19270.552923932122,3078.243939519052,0.0,3078.243939519052
1.0,2.0,2012-09-14,44493.61,False,44493.61,44768.45734017403,44768.45734017403,44493.61,-274.8473401740266,274.8473401740266,4195.718742213714,44912.892784699,49108.61152691271,48964.17608238774,0.0,44493.61,0.0,4470.566082387741,44638.04544452497,4470.566082387741,0.0,4470.566082387741
1.0,3.0,2012-09-14,14288.22,False,14288.22,12247.169072062285,12247.169072062285,14288.22,2041.0509279377147,2041.0509279377147,18272.00386465253,10219.07070043424,28491.074565086772,30519.172936714815,0.0,14288.22,0.0,16230.952936714815,12260.121628371957,16230.952936714815,0.0,16230.952936714815
1.0,4.0,2012-09-14,35044.06,False,35044.06,37106.33737520679,37106.33737520679,35044.06,-2062.277375206795,2062.277375206795,3976.8358579030405,35497.662883745026,39474.498741648065,41083.17323310983,0.0,35044.06,0.0,6039.113233109834,33435.38550853823,6039.113233109834,0.0,6039.113233109834
1.0,5.0,2012-09-14,19369.52,False,19369.52,19313.01536904332,19313.01536904332,19369.52,56.50463095667874,56.50463095667874,5813.3655673158255,19840.93745779876,25654.303025114583,25126.380936359146,0.0,19369.52,0.0,5756.860936359146,19897.442088755437,5756.860936359146,0.0,5756.860936359146
1.0,6.0,2012-09-14,3073.31,False,3073.31,3324.3695154104107,3324.3695154104107,3073.31,-251.05951541041077,251.05951541041077,3517.2681725644297,3700.901769898154,7218.169942462584,6841.63768797484,0.0,3073.31,0.0,3768.3276879748405,3449.8422544877435,3768.3276879748405,0.0,3768.3276879748405
1.0,7.0,2012-09-14,15525.82,False,15525.82,17295.35593855096,17295.35593855096,15525.82,-1769.5359385509619,1769.5359385509619,3253.2288139743896,16501.404965269816,19754.633779244206,20548.584752525352,0.0,15525.82,0.0,5022.764752525352,14731.869026718854,5022.764752525352,0.0,5022.764752525352
1.0,8.0,2012-09-14,37346.83,False,37346.83,37699.35490643228,37699.35490643228,37346.83,-352.52490643227793,352.52490643227793,3883.9579452373264,36617.93339504759,40501.89134028492,41583.31285166961,0.0,37346.83,0.0,4236.482851669607,36265.408488615314,4236.482851669607,0.0,4236.482851669607
1.0,9.0,2012-09-14,31882.98,False,31882.98,30774.99417574325,30774.99417574325,31882.98,1107.9858242567498,1107.9858242567498,3857.4739114143035,32389.28230463846,36246.75621605276,34632.468087157555,0.0,31882.98,0.0,2749.488087157555,33497.2681288952,2749.488087157555,0.0,2749.488087157555
1.0,10.0,2012-09-14,31705.09,False,31705.09,32229.203081422114,32229.203081422114,31705.09,-524.1130814221142,524.1130814221142,3598.357167239104,30259.995756842967,33858.35292408207,35827.56024866122,0.0,31705.09,0.0,4122.470248661219,29735.882675420853,4122.470248661219,0.0,4122.470248661219
1.0,11.0,2012-09-14,17027.47,False,17027.47,21264.88363402502,21264.88363402502,17027.47,-4237.413634025019,4237.413634025019,3582.409967491393,18784.1581140575,22366.568081548892,24847.293601516412,0.0,17027.47,0.0,7819.823601516411,14546.744480032481,7819.823601516411,0.0,7819.823601516411
1.0,12.0,2012-09-14,10484.08,False,10484.08,11846.95379210476,11846.95379210476,10484.08,-1362.8737921047596,1362.8737921047596,3254.6586502008554,10739.77173466592,13994.430384866775,15101.612442305615,0.0,10484.08,0.0,4617.532442305615,9376.89794256116,4617.532442305615,0.0,4617.532442305615
1.0,13.0,2012-09-14,38759.47,False,38759.47,41321.39175467203,41321.39175467203,38759.47,-2561.921754672032,2561.921754672032,4688.123039805086,40328.75870610227,45016.881745907354,46009.514794477116,0.0,38759.47,0.0,7250.044794477115,37766.83695143024,7250.044794477115,0.0,7250.044794477115
1.0,14.0,2012-09-14,11596.1,False,11596.1,14268.20567401783,14268.20567401783,11596.1,-2672.10567401783,2672.10567401783,3535.300586192802,12599.64991603499,16134.950502227792,17803.506260210634,0.0,11596.1,0.0,6207.406260210633,9927.544242017158,6207.406260210633,0.0,6207.406260210633
1.0,16.0,2012-09-14,14646.37,False,14646.37,17727.49475046128,17727.49475046128,14646.37,-3081.1247504612784,3081.1247504612784,3638.3020917107683,14802.27753411142,18440.57962582219,21365.796842172047,0.0,14646.37,0.0,6719.426842172046,11721.152783650143,6719.426842172046,0.0,6719.426842172046
1.0,17.0,2012-09-14,7075.73,False,7075.73,8668.638502622935,8668.638502622935,7075.73,-1592.908502622935,1592.908502622935,3233.1380691392756,8079.26047840763,11312.398547546905,11901.77657176221,0.0,7075.73,0.0,4826.04657176221,6486.351975784695,4826.04657176221,0.0,4826.04657176221
1.0,18.0,2012-09-14,649.09,False,649.09,1034.6581177192088,1034.6581177192088,649.09,-385.5681177192088,385.5681177192088,3262.663979939552,1109.454458827971,4372.118438767523,4297.322097658761,0.0,649.09,0.0,3648.2320976587607,723.8863411087623,3648.2320976587607,0.0,3648.2320976587607
1.0,19.0,2012-09-14,733.78,False,733.78,1403.7139375790862,1403.7139375790862,733.78,-669.9339375790862,669.9339375790862,3187.8918837793544,1176.4096194947329,4364.301503274088,4591.60582135844,0.0,733.78,0.0,3857.8258213584404,506.47568191564733,3857.8258213584404,0.0,3857.8258213584404
1.0,20.0,2012-09-14,3548.56,False,3548.56,4187.5178185300365,4187.5178185300365,3548.56,-638.9578185300365,638.9578185300365,3272.976187783584,3955.129496333404,7228.105684116988,7460.49400631362,0.0,3548.56,0.0,3911.93400631362,3316.1716778033683,3911.93400631362,0.0,3911.93400631362
