Store,Dept,Date,Weekly_Sales,IsHoliday,Demand,Forecast_Demand,Forecast,Demand_Proxy,Forecast_Error,Absolute_Error,Safety_Stock,Next_Forecast,Target_Inventory,Starting_Inventory,Arriving_Inventory,Fulfilled_Demand,Lost_Sales,Ending_Inventory,Order_Qty,Holding_Cost,Shortage_Cost,Total_Cost
1.0,1.0,2012-09-14,19616.22,False,19616.22,19423.388942013647,19423.388942013647,19616.22,192.8310579863537,192.8310579863537,766.2761737826672,19077.72186594577,19843.998039728434,20189.665115796313,0.0,19616.22,0.0,573.4451157963122,19270.552923932122,573.4451157963122,0.0,573.4451157963122
1.0,2.0,2012-09-14,44493.61,False,44493.61,44768.45734017403,44768.45734017403,44493.61,-274.8473401740266,274.8473401740266,982.8815623315392,44912.892784699,45895.774347030536,45751.338902505566,0.0,44493.61,0.0,1257.7289025055652,44638.04544452497,1257.7289025055652,0.0,1257.7289025055652
1.0,3.0,2012-09-14,14288.22,False,14288.22,12247.169072062285,12247.169072062285,14288.22,2041.0509279377147,2041.0509279377147,4280.366918956559,10219.07070043424,14499.4376193908,16527.53599101884,0.0,14288.22,0.0,2239.3159910188424,12260.121628371957,2239.3159910188424,0.0,2239.3159910188424
1.0,4.0,2012-09-14,35044.06,False,35044.06,37106.33737520679,37106.33737520679,35044.06,-2062.277375206795,2062.277375206795,931.6064496471747,35497.662883745026,36429.2693333922,38037.943824853966,0.0,35044.06,0.0,2993.8838248539687,33435.38550853823,2993.8838248539687,0.0,2993.8838248539687
1.0,5.0,2012-09-14,19369.52,False,19369.52,19313.01536904332,19313.01536904332,19369.52,56.50463095667874,56.50463095667874,1361.8286120372916,19840.93745779876,21202.76606983605,20674.843981080612,0.0,19369.52,0.0,1305.3239810806117,19897.442088755437,1305.3239810806117,0.0,1305.3239810806117
1.0,6.0,2012-09-14,3073.31,False,3073.31,3324.3695154104107,3324.3695154104107,3073.31,-251.05951541041077,251.05951541041077,823.9489462930819,3700.901769898154,4524.850716191236,4148.318461703493,0.0,3073.31,0.0,1075.0084617034931,3449.8422544877426,1075.0084617034931,0.0,1075.0084617034931
1.0,7.0,2012-09-14,15525.82,False,15525.82,17295.35593855096,17295.35593855096,15525.82,-1769.5359385509619,1769.5359385509619,762.0955587728615,16501.404965269816,17263.500524042676,18057.451497323822,0.0,15525.82,0.0,2531.6314973238223,14731.869026718854,2531.6314973238223,0.0,2531.6314973238223
1.0,8.0,2012-09-14,37346.83,False,37346.83,37699.35490643228,37699.35490643228,37346.83,-352.52490643227793,352.52490643227793,909.849036074976,36617.93339504759,37527.78243112257,38609.20394250726,0.0,37346.83,0.0,1262.3739425072563,36265.408488615314,1262.3739425072563,0.0,1262.3739425072563
1.0,9.0,2012-09-14,31882.98,False,31882.98,30774.99417574325,30774.99417574325,31882.98,1107.9858242567498,1107.9858242567498,903.6449337172759,32389.28230463846,33292.92723835573,31678.639109460524,0.0,31678.639109460524,204.34089053947537,0.0,33292.92723835573,0.0,1021.7044526973768,1021.7044526973768
1.0,10.0,2012-09-14,31705.09,False,31705.09,32229.203081422114,32229.203081422114,31705.09,-524.1130814221142,524.1130814221142,842.9447090385338,30259.995756842967,31102.9404658815,33072.14779046065,0.0,31705.09,0.0,1367.0577904606507,29735.88267542085,1367.0577904606507,0.0,1367.0577904606507
